Tent ID | Dropbox #,# of Residents UNDER 18 yr.,# of Residents OVER 18 yr.,# of Tent Residents,sex,date_of_birth,HH1 Occupation,HH1 Occupation - Other,HH2 Sex,HH2 Age,HH2 Occupation,HH2 Occupation - Other,Full Time Resident 1 Relationship,Age,Sex,Occupation,Full Time Resident 2 Relationship,Age,Sex,Occupation,Full Time Resident 3 Relationship,Age,Sex,Occupation,Full Time Resident 4 Relationship,Age,Sex,Occupation,Full Time Resident 5 Relationship,Age,Sex,Occupation,Full Time Resient 6 Relationship,Age,Sex,Occupation,Full Time Resident 7 Relationship,Age,Sex,Full Time Resident 8 Relationship,Age,Sex,Occupation,Full Time Resident 9 Relationship,Age,Sex,Occupation,Full Time Resident 10 Relationship,Age,Sex,Full Time Resident 11 Relationship,Age,Sex,Occupation,Last Name,First Name,Full Time Resident 12 Relationship,Age,Sex,Occupation,Full Time Resident 13 Relationship,Age,Sex,Occupation,Full Time  Resident 14 Relationship,Age,Sex,Occupation,Full Time Resident 15 Relationship,Age,Sex,Occupation
155,1,1,2,F,20,commercial worker,,,,,,,4,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2,2,4,F,28,stay at home mother,,M,29,tinsmith,,,8,F,student,,4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2,1,3,F,40,commercial worker,,,,,,,12,M,student,,15,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1,2,3,M,24,baker,,F,23,stay at home mother,,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2,2,4,M,38,biker/driver,,F,39,stay at home mother,,,9,M,student,,15,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,2,6,,27,fruit and chicken vendor,,,27,brick maker,,,9,F,student,,6,,student,,4,F,,,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,3,4,M,44,biker/driver,,,42,nurse,,,20,M,works,,12,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,3,2,5,F,,housewife,,,,,,son,24,M,makeup packer,granddaughter,14,F,student,granddaughter,13,F,student,grandson,10,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1,3,4,F,35,saleswoman,,,,,,daughter,2,F,,daughter,20,F,student,son,18,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2,2,4,F,24,saleswoman (clothing),,M,29,construction builder/worker,,son,9,M,student,daughter,5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,3,1,4,F,36,saleswoman (clothing),,,,,,son,5,M,,daughter,7,F,Student,son,8,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1,3,4,F,45,seafood seller,,,,,,daughter,12,F,student,son,23,M,construction worker/builder,son,21,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2,2,4,F,30,stay at home mother,,M,31,multiple jobs,,daughter,9,F,student,daughter,3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2,1,3,F,40,pots and pans seller,,,,,,son,10,M,student,son,17,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2,1,3,F,29,domestic work,,,,,,daughter,2,F,,son,6,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1,3,4,M,43,Carpenter,,F,41,domestic work,,Daughter,18,F,Student,daughter,12,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2,2,4,F,24,stay at home mother,,M,25,security guard,,son,5,M,Student,daughter,2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,3,4,F,37,domestic work,,M,38,construction builder/worker,,Daughter,13,F,Student,daughter,19,F,works in a shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,M,64,Vendor,,M,37,Contracted Worker,Security Guard,Daughter,32,F,Student,Son,21,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,F,22,Vendor,,M,25,Contracted Work,Construction Assistant,Daughter,2,F,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,M,22,Carpenter,,F,18,Housekeeper,,Son,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,3,2,5,F,34,Food vendor,,M,42,Food vendor,,daughter,15,F,student,son,6,M,student,son,3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1,1,2,F,28,Nurse,,,,,,son,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1,3,4,F,36,household worker/domestic work,,M,40,construction builder/worker,,daughter,16,F,Student,daughter,18,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2,1,3,F,33,household worker/domestic work,,,,,,son,12,M,Student,son,6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2,2,4,F,26,household worker/domestic work,,M,29,construction builder/worker,,son,5,M,,daughter,5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1,2,3,F,23,stay at home mother,,M,,salesman,,son,3,M,,brother-in-law,17,M,construction worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2,1,3,F,34,waitress,,,,,,,18,F,,,12,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0,2,2,F,23,pinata vendor,,M,22,pinata vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1,2,3,F,42,domestic work,,,,,,,23,M,day labor,,16,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,3,1,4,F,31,vendor,,,,,,,12,F,student,,14,M,student,,8,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,3,4,7,M,68,day labor,,F,35,vendor,,,19,M,,,17,F,domestic work,,12,M,helps mother sell bread,,14,F,helps at home,,10,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,3,1,4,M,43,ordinance,,,,,,,17,M,student,,8,M,student,,5,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1,3,4,F,42,household worker/domestic work,,,,,,daughter,22,F,household worker,daughter,18,F,household worker,son,16,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2,1,3,F,39,merchant,,,,,,son,13,M,,daughter,14,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,3,2,5,F,33,stay at home mom,,M,34,security guard,,son,11,M,,son,7,M,,son,5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,3,2,5,F,32,household worker/domestic work,,M,34,salesman,,son,13,M,,daughter,9,F,,daughter,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2,4,6,M,45,works in a maquila,,F,40,food vendor,,son,17,M,,son,15,M,,father-in-law,80,,,mother-in-law,61,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,3,1,4,F,30,clothing seller,,,,,,daughter,12,F,student,son,6,M,student,son,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2,1,3,F,35,household worker/domestic work,,,,,,son,12,M,student,daughter,9,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,3,1,4,F,37,traditional food seller,,,,,,son,10,M,student,daughter,8,F,student,daughter,4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,3,2,5,F,30,stay at home mom,,M,30,works in a maquila,,son,12,M,student,daughter,18 months,F,,son,6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2,1,3,F,24,fruit seller,,,,,,son,7,M,student,daughter,3 months,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
